"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","444","InvalidloginTc","Default Suite","2025-10-28","passed","2025-10-28","Base.BaseLogin","GradProject","Base.BaseLogin","InvalidloginTc"
"","3064","ValidLoginTC","Default Suite","2025-10-28","passed","2025-10-28","Base.BaseLogin","GradProject","Base.BaseLogin","ValidLoginTC"
